vessel_type,dwt,engine_power_kw,speed_knots,distance_nm,cargo_load_pct,weather_beaufort,draft_meters,fuel_type,fuel_consumption_tons,co2_emissions_tons,sox_emissions_tons,nox_emissions_tons,operational_cost_usd
Bulk Carrier,51871.13,11971.33,14.07,5039.23,99.05,5,15.24,Ammonia,888.3,0.0,0.0,16.52,413059.23
Tanker,97193.29,36473.33,13.12,7326.98,37.69,2,11.44,HFO,2040.89,6350.18,164.09,410.22,697371.52
Container,109218.43,49486.24,21.14,6954.53,39.28,5,12.36,LNG,1694.34,4619.55,0.0,82.34,864621.93
Bulk Carrier,58345.6,10442.77,15.61,3376.44,46.17,4,11.75,Methanol,310.68,417.32,0.0,4.95,92737.68
Bulk Carrier,31887.21,22873.71,13.17,4769.98,44.07,5,12.12,VLSFO,968.69,2883.4,19.86,178.72,476595.07
Container,114939.33,43576.16,23.07,7119.74,94.64,2,15.15,Ammonia,2302.35,0.0,0.0,42.82,1070592.85
Container,139581.6,54900.53,21.48,4941.07,81.42,4,13.48,VLSFO,2252.34,6704.32,46.17,415.56,1108152.07
Tanker,101601.49,41810.45,12.74,11191.65,86.49,5,14.86,LNG,6446.45,17575.99,0.0,313.3,3289623.76
Tanker,149638.26,29424.1,16.18,3653.21,47.17,4,12.13,Hydrogen,789.84,0.0,0.0,0.0,3317321.03
Bulk Carrier,47410.56,11011.85,11.4,10561.53,49.92,3,11.93,VLSFO,1293.16,3849.21,26.51,238.59,636232.44
Tanker,118455.04,37788.02,13.67,6932.37,78.44,4,13.8,LNG,3124.9,8519.92,0.0,151.87,1594636.83
Bulk Carrier,49533.14,9546.16,11.56,1559.95,41.8,5,11.92,Ammonia,146.67,0.0,0.0,2.73,68199.55
Bulk Carrier,85479.95,12266.03,13.13,3653.0,85.56,3,13.58,VLSFO,602.92,1794.64,12.36,111.24,296634.86
Container,92180.76,24352.26,22.97,3652.33,48.52,5,12.38,Methanol,563.22,756.54,0.0,8.97,168119.74
Bulk Carrier,78547.99,11201.91,15.51,1510.91,64.25,5,13.77,Hydrogen,170.54,0.0,0.0,0.0,716266.63
Bulk Carrier,81079.2,10501.21,12.73,11481.82,69.33,4,13.84,Ammonia,1503.07,0.0,0.0,27.96,698926.22
Container,97793.44,53268.15,17.28,1441.73,50.61,3,12.6,LNG,487.3,1328.61,0.0,23.68,248669.51
Bulk Carrier,37979.75,16372.87,12.8,10817.27,68.85,6,13.92,Ammonia,2476.77,0.0,0.0,46.07,1151700.3
Tanker,143438.3,32557.34,14.56,4999.27,80.1,3,13.48,Ammonia,1667.23,0.0,0.0,31.01,775260.31
Container,53825.64,29920.52,23.11,11301.21,77.32,3,14.55,LNG,2171.55,5920.65,0.0,105.54,1108143.73
Bulk Carrier,91593.6,8360.85,13.17,1431.79,90.06,6,15.2,HFO,198.01,616.11,15.92,39.8,67660.15
Bulk Carrier,36540.75,22532.81,13.64,4889.04,73.08,4,13.57,VLSFO,1369.74,4077.17,28.08,252.72,673912.15
Bulk Carrier,95987.81,12417.96,11.64,6936.6,61.94,5,12.95,Hydrogen,1071.29,0.0,0.0,0.0,4499409.06
Tanker,119327.96,29925.28,12.96,1476.26,69.8,4,13.8,HFO,519.08,1615.12,41.73,104.34,177370.58
Container,147315.08,22792.4,19.14,10937.09,88.8,4,15.07,Ammonia,2373.57,0.0,0.0,44.15,1103710.85
Tanker,184960.51,40982.83,15.6,3611.51,99.11,4,15.12,HFO,2083.47,6482.68,167.51,418.78,711922.13
Container,96782.01,33225.67,21.36,3555.8,83.23,3,14.29,LNG,864.08,2355.87,0.0,41.99,440938.79
Bulk Carrier,87607.67,18987.58,12.04,4924.54,41.06,3,12.18,LNG,719.41,1961.45,0.0,34.96,367115.74
Tanker,104246.2,24192.37,12.85,5014.12,47.3,4,12.04,LNG,1048.79,2859.47,0.0,50.97,535195.74
Bulk Carrier,96232.54,23414.4,14.21,1517.21,30.46,2,11.39,Ammonia,197.47,0.0,0.0,3.67,91823.81
Tanker,195725.08,40730.22,15.46,11526.45,95.89,1,15.49,VLSFO,5471.08,16285.21,112.16,1009.41,2691770.85
Bulk Carrier,83906.29,20721.72,15.49,6724.38,64.42,5,13.22,HFO,1454.77,4526.48,116.96,292.41,497094.25
Container,57021.93,27573.73,17.42,1553.23,63.09,4,13.38,Hydrogen,352.51,0.0,0.0,0.0,1480551.78
Tanker,84253.41,43412.08,12.5,3594.96,76.9,1,14.17,HFO,1936.55,6025.55,155.7,389.25,661720.55
Container,101683.52,38211.54,22.11,7036.44,70.1,4,14.08,HFO,2024.93,6300.53,162.8,407.01,691918.15
Container,145678.14,38487.63,15.49,6885.65,89.81,1,14.07,HFO,2848.94,8864.43,229.06,572.64,973484.27
Container,149940.13,47852.23,22.34,3579.75,92.17,4,15.1,Ammonia,1422.65,0.0,0.0,26.46,661531.26
Tanker,112206.91,39673.11,12.72,3568.87,56.23,3,12.51,HFO,1547.82,4816.03,124.45,311.11,528891.74
Bulk Carrier,59092.54,21968.9,13.94,4905.76,63.53,5,12.55,Methanol,1389.46,1866.39,0.0,22.12,414752.78
Tanker,121303.79,38682.7,12.13,7252.48,74.44,5,13.45,LNG,3478.34,9483.54,0.0,169.05,1774995.0
Container,113996.17,29239.46,20.78,3638.62,49.85,2,11.91,VLSFO,571.93,1702.39,11.72,105.52,281387.51
Bulk Carrier,48425.14,13625.0,14.4,3587.22,36.68,3,12.42,Methanol,369.35,496.13,0.0,5.88,110250.43
Bulk Carrier,94539.65,18448.55,14.87,1524.67,80.2,3,13.34,Methanol,375.51,504.41,0.0,5.98,112091.04
Container,75485.7,41948.59,14.57,6932.8,91.9,5,14.34,Ammonia,4003.32,0.0,0.0,74.46,1861544.89
Tanker,118814.51,26717.38,16.82,7115.89,34.78,8,11.78,Hydrogen,1430.88,0.0,0.0,0.0,6009680.05
Container,112360.63,30230.79,18.01,4934.84,32.3,4,11.79,Ammonia,807.37,0.0,0.0,15.02,375427.89
Tanker,120938.64,30308.21,12.97,5190.53,76.25,4,13.63,Ammonia,2015.13,0.0,0.0,37.48,937037.06
Container,107019.86,20625.71,21.07,5242.88,82.66,3,14.33,LNG,785.28,2141.03,0.0,38.16,400727.8
Bulk Carrier,95059.62,8161.41,15.52,1457.29,36.69,3,11.65,Methanol,82.01,110.16,0.0,1.31,24479.17
Bulk Carrier,69715.24,9926.24,12.95,7040.25,53.75,5,13.12,VLSFO,763.96,2273.99,15.66,140.95,375866.66
Tanker,160974.57,40540.8,15.54,7333.87,98.38,6,15.51,Hydrogen,4040.26,0.0,0.0,0.0,16969104.39
Container,147264.9,37639.61,20.53,6804.49,99.63,4,14.38,Hydrogen,2440.24,0.0,0.0,0.0,10249024.61
Bulk Carrier,69739.93,22384.95,11.13,4899.08,62.54,3,12.57,HFO,1512.95,4707.51,121.64,304.1,516974.79
Tanker,170790.37,32573.93,12.81,4927.21,54.74,3,13.31,Methanol,1862.93,2502.38,0.0,29.66,556085.5
Container,112008.52,23508.91,15.48,10843.28,49.27,2,12.2,VLSFO,1792.98,5336.97,36.76,330.8,882143.84
Bulk Carrier,69990.2,12070.31,12.17,1429.7,51.47,3,12.48,Methanol,196.34,263.73,0.0,3.13,58606.9
Tanker,120007.85,22707.95,12.77,1571.94,91.49,8,14.06,Ammonia,634.62,0.0,0.0,11.8,295096.25
Container,149751.35,23702.97,21.17,1478.63,90.76,5,14.83,Hydrogen,332.15,0.0,0.0,0.0,1395047.91
Container,140713.25,43408.42,17.35,3388.55,37.96,7,11.85,HFO,1069.34,3327.22,85.97,214.94,365392.76
Container,74089.27,46488.13,21.32,6912.38,91.19,5,15.07,VLSFO,3195.56,9511.9,65.51,589.58,1572215.53
Container,120732.98,24573.6,23.78,3340.96,80.9,3,14.54,LNG,530.56,1446.55,0.0,25.79,270744.46
Tanker,194902.13,39968.87,13.18,3358.85,53.11,6,12.93,Ammonia,1410.82,0.0,0.0,26.24,656030.31
Tanker,84146.97,24987.26,12.35,10517.49,36.92,6,12.36,Methanol,2722.87,3657.49,0.0,43.35,812775.7
Tanker,93123.34,29273.69,13.41,1479.72,91.25,3,14.48,Methanol,691.82,929.29,0.0,11.01,206508.9
Bulk Carrier,48100.92,14793.65,12.96,1515.53,65.9,2,13.89,Ammonia,247.18,0.0,0.0,4.6,114938.31
Tanker,148381.15,32240.32,16.43,4888.75,45.46,3,12.14,HFO,1082.21,3367.27,87.01,217.52,369791.1
Tanker,81062.28,36989.32,12.3,10947.83,83.69,4,13.52,HFO,5666.44,17631.01,455.58,1138.95,1936222.02
Bulk Carrier,94716.76,8726.85,11.11,7195.14,51.84,4,12.36,Hydrogen,736.92,0.0,0.0,0.0,3095074.87
Bulk Carrier,81921.97,17353.6,15.61,4976.0,50.95,3,12.46,Hydrogen,648.4,0.0,0.0,0.0,2723268.74
Bulk Carrier,99864.63,11426.98,15.55,11015.05,39.83,3,11.57,VLSFO,838.13,2494.78,17.18,154.64,412360.62
Container,83012.67,38674.95,23.35,7228.21,30.72,5,11.75,LNG,1043.73,2845.69,0.0,50.73,532616.34
Tanker,183966.64,16045.39,15.93,1441.6,97.54,2,15.6,Methanol,306.97,412.34,0.0,4.89,91631.35
Container,53910.06,34360.19,23.0,1567.98,47.11,5,12.43,VLSFO,319.43,950.83,6.55,58.94,157161.69
Tanker,195183.93,28929.9,16.81,6961.16,91.37,5,14.27,HFO,2526.72,7861.85,203.15,507.87,863381.05
Bulk Carrier,37971.82,15952.65,14.35,1455.92,72.88,4,14.04,Ammonia,252.71,0.0,0.0,4.7,117509.99
Bulk Carrier,85216.19,22840.7,11.59,5208.62,86.69,3,15.0,Hydrogen,1867.87,0.0,0.0,0.0,7845059.22
Container,125966.64,49031.46,22.42,1568.58,97.89,1,14.82,Hydrogen,556.46,0.0,0.0,0.0,2337112.84
Container,80525.21,30202.23,22.73,1436.97,98.36,4,14.67,VLSFO,413.04,1229.45,8.47,76.21,203214.09
Bulk Carrier,73215.06,22609.02,11.35,6880.81,34.18,4,11.87,LNG,1236.88,3372.32,0.0,60.11,631182.17
Tanker,160736.34,20687.77,16.67,3361.75,35.02,2,11.45,Ammonia,352.68,0.0,0.0,6.56,163994.52
Bulk Carrier,45851.51,15028.67,12.61,3337.57,55.9,5,12.57,LNG,553.17,1508.21,0.0,26.88,282284.92
Tanker,96025.96,44592.87,12.75,7325.02,99.98,4,14.43,VLSFO,5337.31,15887.03,109.41,984.73,2625956.08
Bulk Carrier,46786.52,20948.07,12.35,5068.6,62.43,3,13.12,Ammonia,1134.31,0.0,0.0,21.1,527452.1
Container,149812.43,46448.76,21.26,3494.72,68.48,4,12.98,VLSFO,1161.83,3458.3,23.82,214.36,571619.48
Container,53552.57,23427.07,17.73,3379.67,57.18,5,12.8,HFO,681.8,2121.4,54.82,137.04,232970.22
Container,97202.98,25223.51,16.79,1425.26,45.11,4,12.23,VLSFO,256.24,762.71,5.25,47.28,126067.85
Container,114390.13,51566.28,17.95,5239.13,60.68,4,12.56,VLSFO,2105.35,6266.79,43.16,388.44,1035833.0
Container,51297.46,36590.72,18.57,3430.22,60.08,4,12.98,Methanol,1056.41,1419.02,0.0,16.82,315337.58
Bulk Carrier,78929.33,18061.01,11.92,3441.01,79.51,4,13.57,HFO,872.84,2715.81,70.18,175.44,298248.06
Tanker,97290.39,22108.33,14.05,3598.36,35.96,2,11.74,Ammonia,491.15,0.0,0.0,9.14,228384.14
Bulk Carrier,30658.91,24893.75,13.95,1527.22,74.5,5,13.4,LNG,406.39,1108.01,0.0,19.75,207381.09
Tanker,175737.56,40969.04,14.82,11497.5,84.36,3,13.54,VLSFO,5581.35,16613.45,114.42,1029.76,2746025.24
Bulk Carrier,56469.26,24447.1,12.51,1572.66,93.54,7,14.56,Ammonia,723.05,0.0,0.0,13.45,336216.39
Tanker,126785.03,38080.71,13.03,1516.76,36.52,5,11.61,VLSFO,493.79,1469.82,10.12,91.1,242944.93
Tanker,82075.85,18569.02,14.16,3528.06,93.85,6,15.36,Ammonia,981.42,0.0,0.0,18.25,456360.29
Container,81655.97,21660.07,19.36,3498.24,36.84,2,11.62,Hydrogen,345.66,0.0,0.0,0.0,1451776.1
Bulk Carrier,75553.33,15525.13,11.21,4994.14,81.3,2,14.22,LNG,1044.36,2847.4,0.0,50.76,532936.73
Container,54626.29,35018.02,17.4,3475.42,74.59,4,13.35,VLSFO,1151.39,3427.22,23.6,212.43,566482.79
Container,98306.92,20000.9,22.73,3503.6,87.96,3,13.84,Methanol,600.16,806.16,0.0,9.55,179146.31
Bulk Carrier,62929.24,16265.71,13.97,11400.94,75.06,3,13.19,Hydrogen,2064.36,0.0,0.0,0.0,8670312.63
Container,135331.8,48226.97,14.01,3622.8,96.72,3,14.54,Ammonia,2231.94,0.0,0.0,41.51,1037853.83
Bulk Carrier,54883.01,24607.5,15.28,3394.87,83.19,4,14.24,VLSFO,1034.86,3080.37,21.21,190.93,509152.4
Container,69021.55,27981.15,22.33,3625.29,95.42,3,15.32,HFO,869.96,2706.85,69.94,174.86,297264.34
Tanker,162343.21,26421.57,14.98,5211.56,70.0,2,12.93,VLSFO,1389.05,4134.63,28.48,256.28,683410.18
Container,128230.26,24122.08,15.2,3497.04,73.33,2,13.16,HFO,809.45,2518.58,65.08,162.7,276588.59
Container,139937.27,29476.78,20.6,6725.49,37.8,4,11.91,VLSFO,1015.8,3023.62,20.82,187.41,499772.16
Tanker,164540.99,40508.24,15.58,4915.05,59.72,5,13.06,LNG,1796.57,4898.26,0.0,87.31,916787.24
Container,101838.88,59575.13,18.99,1570.15,98.89,4,15.2,Ammonia,956.74,0.0,0.0,17.8,444886.29
Tanker,159404.01,20811.18,14.91,4937.94,93.54,4,15.35,LNG,1167.59,3183.39,0.0,56.74,595821.71
Container,109896.63,42223.81,19.62,3482.12,38.18,3,11.54,LNG,721.35,1966.73,0.0,35.06,368103.75
Tanker,131462.29,28086.42,15.81,7250.02,39.07,3,11.84,LNG,1133.5,3090.43,0.0,55.09,578423.64
Tanker,189637.15,24545.99,13.47,11538.78,47.0,5,11.96,LNG,2289.65,6242.64,0.0,111.28,1168408.73
Bulk Carrier,83212.93,22430.6,14.46,3362.54,97.29,3,14.44,Hydrogen,899.26,0.0,0.0,0.0,3776881.95
Tanker,155015.29,29473.0,15.33,10867.15,82.99,2,14.09,VLSFO,3658.47,10889.8,75.0,674.99,1799966.63
Bulk Carrier,85701.09,20407.69,11.53,3609.97,59.76,4,13.37,Ammonia,907.39,0.0,0.0,16.88,421937.54
Bulk Carrier,89164.49,14107.35,12.94,7190.83,33.33,3,11.83,VLSFO,716.91,2133.96,14.7,132.27,352721.31
Tanker,141179.92,19073.22,12.03,6820.55,50.16,2,12.35,VLSFO,1268.43,3775.61,26.0,234.03,624066.97
Bulk Carrier,52257.82,16509.21,13.65,3423.72,83.77,3,14.85,Hydrogen,677.77,0.0,0.0,0.0,2846635.94
Tanker,148923.61,36175.83,12.05,5017.59,91.81,3,15.04,VLSFO,2687.69,8000.17,55.1,495.88,1322341.53
Tanker,111503.48,26934.7,13.19,11267.59,55.21,3,13.15,LNG,2458.83,6703.9,0.0,119.5,1254740.45
Tanker,172890.19,38277.99,12.56,3349.29,53.44,5,12.34,Methanol,1493.36,2005.96,0.0,23.77,445768.7
Bulk Carrier,31401.58,19272.32,15.05,10998.84,68.7,2,13.75,HFO,1958.52,6093.9,157.47,393.66,669227.09
Container,135871.18,21054.79,19.11,4821.32,50.14,5,12.54,VLSFO,737.41,2194.97,15.12,136.05,362805.46
Tanker,140495.57,23626.14,12.24,3598.75,56.83,4,13.46,Methanol,1109.67,1490.56,0.0,17.67,331236.13
Tanker,83026.57,25512.1,16.41,1525.6,50.26,4,12.07,Hydrogen,291.99,0.0,0.0,0.0,1226357.82
Bulk Carrier,82922.1,16423.62,14.4,6861.05,52.35,3,12.33,Methanol,1097.11,1473.69,0.0,17.47,327486.88
Tanker,112903.12,31414.43,14.6,10955.66,90.44,4,14.65,Hydrogen,4356.96,0.0,0.0,0.0,18299211.67
Bulk Carrier,55871.04,15898.56,11.29,3419.48,36.68,4,11.95,Ammonia,476.95,0.0,0.0,8.87,221782.03
Bulk Carrier,90928.92,13362.14,15.68,5068.09,44.91,4,11.99,Methanol,588.59,790.62,0.0,9.37,175693.94
Bulk Carrier,95380.56,15531.44,15.32,10546.66,53.65,5,13.16,Methanol,1618.41,2173.93,0.0,25.77,483096.12
Tanker,92768.64,27435.45,15.39,10779.39,97.71,3,14.92,VLSFO,3436.1,10227.91,70.44,633.96,1690563.46
Bulk Carrier,93077.68,12540.71,14.35,5249.17,89.86,6,14.02,Methanol,1034.18,1389.16,0.0,16.46,308701.83
Container,53351.2,49208.22,22.36,11319.04,83.85,6,14.78,Ammonia,5084.28,0.0,0.0,94.57,2364191.29
Bulk Carrier,76678.68,15026.58,12.27,1570.65,74.41,2,13.26,Methanol,323.61,434.7,0.0,5.15,96598.99
Tanker,136901.92,35716.22,16.76,7024.08,36.04,3,11.85,Methanol,1586.29,2130.79,0.0,25.25,473508.98
Tanker,86761.54,41387.73,13.12,7043.02,69.37,3,13.56,HFO,3426.77,10662.34,275.51,688.78,1170928.46
Bulk Carrier,44117.45,19546.62,11.11,7034.4,37.77,4,11.91,Hydrogen,1291.28,0.0,0.0,0.0,5423394.03
Bulk Carrier,52352.73,22792.85,15.56,1507.65,39.71,3,12.48,Methanol,243.71,327.36,0.0,3.88,72746.56
Bulk Carrier,88656.52,19795.56,15.32,11083.91,51.4,4,12.53,Methanol,1981.14,2661.17,0.0,31.54,591371.23
Container,119809.0,40021.74,22.98,3397.43,74.14,3,13.56,Methanol,1006.87,1352.48,0.0,16.03,300551.78
Container,135140.7,28270.03,21.28,6974.34,63.69,3,12.68,Methanol,1496.74,2010.5,0.0,23.83,446778.03
Tanker,95097.11,41049.52,14.08,7197.47,76.93,4,13.85,VLSFO,3716.2,11061.63,76.18,685.64,1828368.37
Tanker,152755.52,16062.88,14.61,7140.61,52.98,3,12.51,Ammonia,936.89,0.0,0.0,17.43,435652.34
Tanker,82292.8,30341.1,14.05,1471.26,91.56,5,14.35,Hydrogen,604.97,0.0,0.0,0.0,2540862.69
Tanker,137122.69,29790.51,13.26,1556.06,82.1,4,13.68,Methanol,674.32,905.79,0.0,10.74,201285.86
Tanker,168472.75,38240.55,13.71,7143.61,72.22,4,13.0,LNG,2841.44,7747.06,0.0,138.09,1449984.41
Bulk Carrier,92835.26,15342.28,12.54,6921.3,72.12,3,13.16,Hydrogen,1252.67,0.0,0.0,0.0,5261201.17
Tanker,92534.14,27485.47,15.29,11516.25,95.45,5,14.81,Methanol,5212.03,7001.06,0.0,82.98,1555790.74
Container,70318.54,37452.3,19.31,3529.46,66.34,6,13.95,HFO,1239.69,3857.26,99.67,249.18,423600.52
Container,78592.68,25190.14,16.33,6673.1,96.82,3,15.46,VLSFO,1923.04,5724.11,39.42,354.8,946134.1
Container,109141.81,39062.34,18.88,1566.44,52.49,2,12.58,HFO,407.65,1268.38,32.77,81.94,139292.55
Bulk Carrier,80479.44,16245.42,14.99,10843.24,47.1,5,11.82,Methanol,1722.0,2313.07,0.0,27.41,514015.95
Container,103668.99,40088.54,23.65,7043.34,77.22,5,13.93,Methanol,2379.25,3195.92,0.0,37.88,710204.86
Bulk Carrier,61983.99,14582.7,15.68,3622.97,80.74,3,14.38,VLSFO,579.6,1725.23,11.88,106.94,285161.35
Bulk Carrier,60435.01,22906.6,13.8,11320.29,31.19,4,11.4,Methanol,1941.33,2607.7,0.0,30.91,579488.09
Bulk Carrier,34805.34,16683.48,13.49,4868.18,56.19,3,13.05,Hydrogen,798.97,0.0,0.0,0.0,3355654.4
Tanker,108249.46,24943.74,16.17,3348.49,55.17,3,12.82,LNG,569.84,1553.65,0.0,27.69,290789.23
Container,132089.27,54577.4,22.13,3332.18,55.01,3,13.1,HFO,989.36,3078.37,79.54,198.86,338064.4
Container,112101.11,44658.05,22.51,4939.64,50.73,4,12.83,Hydrogen,1177.63,0.0,0.0,0.0,4946052.19
Bulk Carrier,61520.66,10307.74,11.05,3652.39,43.99,5,12.21,Ammonia,394.55,0.0,0.0,7.34,183467.06
Container,53988.27,37027.78,23.06,4774.72,41.93,3,11.97,Ammonia,757.32,0.0,0.0,14.09,352154.46
Tanker,170657.23,33225.16,16.54,11336.57,82.23,5,13.48,HFO,4344.08,13516.51,349.26,873.16,1484370.93
Container,141546.68,52073.28,19.47,4811.74,67.28,4,13.11,Ammonia,1817.37,0.0,0.0,33.8,845076.62
Container,81183.57,28724.82,14.81,3524.44,80.14,4,13.48,Hydrogen,1121.3,0.0,0.0,0.0,4709460.91
Container,82106.43,22474.61,18.84,10738.78,70.23,4,13.13,VLSFO,2046.34,6091.15,41.95,377.55,1006801.11
Container,90947.21,32916.74,16.39,1540.74,30.6,3,11.56,VLSFO,261.84,779.39,5.37,48.31,128825.15
Tanker,96820.13,20957.89,13.3,10798.26,60.09,4,13.46,HFO,2527.04,7862.83,203.17,507.93,863489.26
Bulk Carrier,74646.74,16365.54,13.88,1497.27,32.15,3,11.21,HFO,157.97,491.51,12.7,31.75,53977.53
Tanker,169560.31,31952.37,13.24,4837.59,47.75,4,12.2,Ammonia,1286.77,0.0,0.0,23.93,598346.77
Bulk Carrier,56065.93,9143.34,12.85,6997.91,44.77,5,12.09,LNG,546.96,1491.28,0.0,26.58,279116.07
Bulk Carrier,78236.87,20987.58,11.09,10571.02,91.12,3,15.25,LNG,3147.28,8580.93,0.0,152.96,1606056.54
Bulk Carrier,42619.96,17300.85,13.53,6966.83,66.25,3,13.23,Methanol,1501.95,2017.49,0.0,23.91,448330.78
Container,86072.02,32431.99,16.71,5118.26,76.02,4,14.31,Methanol,1824.25,2450.42,0.0,29.04,544537.57
Container,126357.45,34204.59,15.06,1568.13,38.18,3,11.53,LNG,317.75,866.32,0.0,15.44,162146.19
Bulk Carrier,56181.26,10635.3,15.58,3350.7,39.6,4,12.23,LNG,213.67,582.57,0.0,10.38,109036.62
Bulk Carrier,63277.44,10108.36,13.82,1523.8,40.71,5,12.25,HFO,132.74,413.02,10.67,26.68,45357.36
Container,83801.86,31983.9,16.08,3667.37,72.79,3,14.11,Methanol,1219.21,1637.7,0.0,19.41,363933.3
Tanker,176115.26,27292.71,16.68,4830.94,87.48,4,14.84,Hydrogen,1322.77,0.0,0.0,0.0,5555632.58
Tanker,145596.65,23982.56,14.54,1439.63,30.98,3,12.08,Ammonia,191.5,0.0,0.0,3.56,89045.55
Container,112140.27,30999.16,16.14,6772.17,96.97,3,14.7,Hydrogen,2368.73,0.0,0.0,0.0,9948682.11
Bulk Carrier,52347.54,21502.1,12.86,7055.34,43.77,4,12.0,VLSFO,1389.85,4137.02,28.49,256.43,683804.44
Tanker,95545.48,17695.6,13.33,6970.9,39.72,3,12.15,LNG,820.45,2236.92,0.0,39.87,418674.74
Bulk Carrier,65193.39,21046.05,14.43,7137.18,59.5,3,13.54,VLSFO,1381.32,4111.65,28.32,254.85,679611.13
Bulk Carrier,63611.04,20438.08,15.15,5110.58,32.27,5,11.63,Ammonia,623.41,0.0,0.0,11.6,289884.25
Tanker,130813.03,25325.74,15.93,3452.51,95.28,5,14.13,VLSFO,1197.48,3564.41,24.55,220.93,589158.75
Tanker,195814.11,28380.33,13.34,1497.34,36.66,4,11.31,Methanol,358.65,481.75,0.0,5.71,107055.64
Bulk Carrier,30788.16,12938.96,12.67,7095.19,65.48,3,13.81,VLSFO,1047.51,3118.02,21.47,193.27,515374.65
Container,104950.32,53488.06,16.96,3655.98,30.84,3,11.6,Ammonia,907.24,0.0,0.0,16.87,421865.62
Tanker,189407.06,32751.12,13.06,1499.89,64.34,1,12.8,VLSFO,519.2,1545.45,10.64,95.79,255445.83
Bulk Carrier,68796.78,8697.17,12.57,7007.39,49.9,3,11.88,HFO,559.18,1739.87,44.96,112.39,191070.78
Tanker,89879.35,42300.56,14.12,6840.53,38.89,2,12.24,Ammonia,1936.74,0.0,0.0,36.02,900583.27
Container,79378.71,37997.86,22.99,1444.24,41.24,5,12.66,Methanol,320.6,430.64,0.0,5.1,95698.08
Bulk Carrier,58632.79,8881.88,14.17,1429.9,48.38,3,11.84,Ammonia,98.5,0.0,0.0,1.83,45802.57
Bulk Carrier,32858.18,15401.02,11.89,7259.97,57.63,4,13.13,VLSFO,1304.81,3883.9,26.75,240.74,641966.2
Container,120242.26,45484.54,15.82,3499.87,36.65,3,11.82,HFO,1015.21,3158.8,81.62,204.06,346896.43
Bulk Carrier,35913.57,21208.56,15.45,6754.38,87.43,5,14.31,LNG,1633.23,4452.93,0.0,79.37,833435.83
Container,53359.23,37597.88,22.45,6800.95,89.41,3,15.18,VLSFO,2109.47,6279.05,43.24,389.2,1037859.67
Tanker,116217.18,19038.72,15.8,1566.28,37.57,4,11.81,VLSFO,215.15,640.4,4.41,39.69,105851.47
Container,63717.34,44890.95,22.55,7042.36,61.64,4,13.53,Methanol,2317.26,3112.67,0.0,36.89,691703.56
Bulk Carrier,67000.03,19404.76,13.35,1475.07,44.54,3,12.54,Ammonia,230.92,0.0,0.0,4.3,107380.03
Tanker,132089.83,16906.83,16.5,4874.49,41.65,1,11.83,VLSFO,506.45,1507.51,10.38,93.44,249175.54
Container,127331.96,53488.02,21.44,7031.43,62.43,4,12.92,HFO,2479.41,7714.65,199.34,498.36,847215.92
Bulk Carrier,36193.54,22564.12,14.9,6769.76,84.4,7,14.8,Ammonia,2311.32,0.0,0.0,42.99,1074765.26
Bulk Carrier,70644.16,12810.23,15.55,3429.16,48.07,3,11.82,Hydrogen,313.88,0.0,0.0,0.0,1318312.57
Container,86961.79,31571.32,22.08,3326.76,40.28,4,11.68,Hydrogen,476.04,0.0,0.0,0.0,1999362.32
Bulk Carrier,61775.33,14257.26,14.44,10869.27,71.38,1,14.17,Hydrogen,1468.6,0.0,0.0,0.0,6168119.14
Container,136903.8,24453.48,18.04,7230.46,89.78,2,14.58,Hydrogen,1584.71,0.0,0.0,0.0,6655799.84
Container,72037.44,57457.98,20.49,3455.05,78.29,4,14.08,Methanol,1949.61,2618.81,0.0,31.04,581957.61
Container,51667.35,52266.9,22.9,1525.44,34.35,4,11.16,Methanol,379.9,510.3,0.0,6.05,113399.33
Container,66859.71,40786.49,22.93,10965.71,76.64,3,13.5,LNG,2857.14,7789.89,0.0,138.86,1458000.56
Tanker,192553.09,44800.15,15.53,1542.67,55.46,2,12.71,Methanol,591.14,794.05,0.0,9.41,176454.74
Container,127732.76,50456.16,14.39,10884.67,49.99,3,12.88,LNG,4090.57,11152.77,0.0,198.8,2087417.36
Tanker,122053.35,44105.78,13.28,6735.66,49.06,1,11.93,Methanol,2781.18,3735.81,0.0,44.28,830180.8
Tanker,94471.83,27054.15,15.36,3485.45,92.34,1,15.22,HFO,1064.72,3312.87,85.6,214.01,363816.09
Tanker,102071.7,17715.79,12.49,11368.82,81.69,4,13.44,LNG,2431.21,6628.6,0.0,118.16,1240646.99
Bulk Carrier,83225.57,19078.38,13.46,3427.16,47.96,3,12.64,LNG,516.95,1409.44,0.0,25.12,263798.04
Container,121990.29,56997.51,16.5,1541.88,77.27,3,14.5,LNG,814.41,2220.46,0.0,39.58,415594.65
Tanker,190764.37,37040.36,12.08,7152.47,46.74,5,11.81,Hydrogen,2787.46,0.0,0.0,0.0,11707323.57
Container,133874.03,37450.6,23.11,1450.65,55.44,4,12.51,Hydrogen,293.46,0.0,0.0,0.0,1232522.57
Bulk Carrier,66560.93,22474.46,11.2,4845.4,46.57,7,12.65,Hydrogen,1338.51,0.0,0.0,0.0,5621725.41
Bulk Carrier,58891.32,11495.14,13.48,1435.16,69.32,4,12.92,Methanol,205.36,275.85,0.0,3.27,61301.04
Bulk Carrier,46883.71,22152.04,11.28,7297.36,53.05,5,12.17,Methanol,2419.76,3250.34,0.0,38.52,722298.54
